image,label
/data_word/images/case_0001.nii.gz,/data_word/labels/case_0001.nii.gz
/data_word/images/case_0004.nii.gz,/data_word/labels/case_0004.nii.gz
/data_word/images/case_0005.nii.gz,/data_word/labels/case_0005.nii.gz
/data_word/images/case_0006.nii.gz,/data_word/labels/case_0006.nii.gz
/data_word/images/case_0007.nii.gz,/data_word/labels/case_0007.nii.gz
/data_word/images/case_0008.nii.gz,/data_word/labels/case_0008.nii.gz
/data_word/images/case_0009.nii.gz,/data_word/labels/case_0009.nii.gz
/data_word/images/case_0010.nii.gz,/data_word/labels/case_0010.nii.gz
/data_word/images/case_0011.nii.gz,/data_word/labels/case_0011.nii.gz
/data_word/images/case_0012.nii.gz,/data_word/labels/case_0012.nii.gz
/data_word/images/case_0013.nii.gz,/data_word/labels/case_0013.nii.gz
/data_word/images/case_0014.nii.gz,/data_word/labels/case_0014.nii.gz
/data_word/images/case_0016.nii.gz,/data_word/labels/case_0016.nii.gz
/data_word/images/case_0017.nii.gz,/data_word/labels/case_0017.nii.gz
/data_word/images/case_0018.nii.gz,/data_word/labels/case_0018.nii.gz
/data_word/images/case_0019.nii.gz,/data_word/labels/case_0019.nii.gz
/data_word/images/case_0020.nii.gz,/data_word/labels/case_0020.nii.gz
/data_word/images/case_0021.nii.gz,/data_word/labels/case_0021.nii.gz
/data_word/images/case_0022.nii.gz,/data_word/labels/case_0022.nii.gz
/data_word/images/case_0028.nii.gz,/data_word/labels/case_0028.nii.gz
/data_word/images/case_0029.nii.gz,/data_word/labels/case_0029.nii.gz
/data_word/images/case_0030.nii.gz,/data_word/labels/case_0030.nii.gz
/data_word/images/case_0031.nii.gz,/data_word/labels/case_0031.nii.gz
/data_word/images/case_0032.nii.gz,/data_word/labels/case_0032.nii.gz
/data_word/images/case_0034.nii.gz,/data_word/labels/case_0034.nii.gz
/data_word/images/case_0035.nii.gz,/data_word/labels/case_0035.nii.gz
/data_word/images/case_0037.nii.gz,/data_word/labels/case_0037.nii.gz
/data_word/images/case_0039.nii.gz,/data_word/labels/case_0039.nii.gz
/data_word/images/case_0041.nii.gz,/data_word/labels/case_0041.nii.gz
/data_word/images/case_0043.nii.gz,/data_word/labels/case_0043.nii.gz
/data_word/images/case_0044.nii.gz,/data_word/labels/case_0044.nii.gz
/data_word/images/case_0045.nii.gz,/data_word/labels/case_0045.nii.gz
